TweetsAgo,Target,User,Date,Positive,Neutral,Negative,Compound,Text
100,BBCWorld,BBC News (World),2017-12-01 12:57:56+00:00,0.0,1.0,0.0,0.0,RT @BBC_HaveYourSay: #AskWoody - did the US ambassador's Twitter Q&amp;A get sidetracked by Trump? https://t.co/pi4m0PECqp
99,BBCWorld,BBC News (World),2017-12-01 13:05:07+00:00,0.0,0.667,0.333,-0.6705,Wanted Chechen IS jihadist Chatayev killed in Georgia siege https://t.co/j6Fk9JFiyn
98,BBCWorld,BBC News (World),2017-12-01 13:09:07+00:00,0.0,1.0,0.0,0.0,RT @bbcweather: EUROPE:  A potential stormy weekend in the Med and Adriatic as #mistral &amp; #bora winds develop. More snow for the Alps. Hele…
97,BBCWorld,BBC News (World),2017-12-01 13:13:20+00:00,0.0,0.37,0.63,-0.8807,Anger as India doctor mistakenly declares newborn dead https://t.co/ml069wCGo9
96,BBCWorld,BBC News (World),2017-12-01 13:17:06+00:00,0.0,1.0,0.0,0.0,Pope Francis uses term Rohingya in Bangladesh meeting https://t.co/UiKQIsGk3f
95,BBCWorld,BBC News (World),2017-12-01 13:33:00+00:00,0.0,0.806,0.194,-0.34,Turkey seeks arrest of ex-CIA officer Fuller over coup plot https://t.co/1hlGZ7c3dn
94,BBCWorld,BBC News (World),2017-12-01 14:23:06+00:00,0.119,0.792,0.089,0.1531,RT @BBCBreaking: Trump's ex-national security adviser Michael Flynn charged with making false statement to FBI in January https://t.co/Zw6t…
93,BBCWorld,BBC News (World),2017-12-01 14:45:50+00:00,0.0,0.763,0.237,-0.7096,"Michael Flynn: The man at the centre of Trump’s Russia crisis, who has been charged with making a false statement t… https://t.co/a4zKluuqEY"
92,BBCWorld,BBC News (World),2017-12-01 14:59:55+00:00,0.186,0.659,0.155,0.0951,Republican holdouts back tax bill despite $1tn deficit alert https://t.co/DHPzZ6b6DI
91,BBCWorld,BBC News (World),2017-12-01 14:59:55+00:00,0.0,1.0,0.0,0.0,UN appeals for record $22.5bn humanitarian aid for 2018 https://t.co/LUGz7PaiNr
90,BBCWorld,BBC News (World),2017-12-01 15:22:55+00:00,0.535,0.465,0.0,0.3182,Far-right embrace https://t.co/vUnjzsx2Fm
89,BBCWorld,BBC News (World),2017-12-01 15:22:55+00:00,0.0,0.769,0.231,-0.34,Cohoes fire: Amateur US blacksmith burns down buildings https://t.co/5a2t04umKS
88,BBCWorld,BBC News (World),2017-12-01 15:23:33+00:00,0.138,0.781,0.082,0.3612,Flight attendant still working at 81: Bette Nash is celebrating 60 years working in the air and she has no plans to… https://t.co/ztvh6okq12
87,BBCWorld,BBC News (World),2017-12-01 15:34:41+00:00,0.0,1.0,0.0,0.0,"RT @BBCSport: The 2018 Fifa #WorldCupDraw is moments away ⚽️

Follow live coverage 👉 https://t.co/XhMcEMjVJd

Tweet us #bbcfootball https:/…"
86,BBCWorld,BBC News (World),2017-12-01 15:43:10+00:00,0.32,0.68,0.0,0.6355,"RT @BBC_HaveYourSay: ""I can't stop laughing...this is making fun of our intelligence.""
https://t.co/7wbOXilh34"
85,BBCWorld,BBC News (World),2017-12-01 15:51:55+00:00,0.0,1.0,0.0,0.0,"RT @BBCSport: Group A

🇷🇺 Russia
🇺🇾 Uruguay
🇪🇬 Egypt
🇸🇦 Saudi Arabia

Follow live:

📺 @BBCTwo
📻 @bbc5live
📱 https://t.co/XhMcEMjVJd

#World…"
84,BBCWorld,BBC News (World),2017-12-01 15:55:19+00:00,0.0,1.0,0.0,0.0,"RT @BBCSport: Group D

🇦🇷 Argentina
🇭🇷 Croatia
🇮🇸 Iceland
🇳🇬 Nigeria

Follow live:

📺 @BBCTwo
📻 @bbc5live
📱 https://t.co/XhMcEMjVJd

#World…"
83,BBCWorld,BBC News (World),2017-12-01 15:55:28+00:00,0.0,1.0,0.0,0.0,"RT @BBCSport: Group C

🇫🇷 France
🇵🇪 Peru
🇩🇰 Denmark
🇦🇺 Australia

Follow live:

📺 @BBCTwo
📻 @bbc5live
📱 https://t.co/XhMcEMjVJd

#WorldCupD…"
82,BBCWorld,BBC News (World),2017-12-01 15:55:36+00:00,0.0,1.0,0.0,0.0,"RT @BBCSport: Group B

🇵🇹 Portugal
🇪🇸 Spain
🇮🇷 Iran
🇲🇦 Morocco

Follow live:

📺 @BBCTwo
📻 @bbc5live
📱 https://t.co/XhMcEMjVJd

#WorldCupDra…"
81,BBCWorld,BBC News (World),2017-12-01 15:55:43+00:00,0.0,1.0,0.0,0.0,"RT @BBCSport: Group E

🇧🇷 Brazil
🇨🇭 Switzerland
🇨🇷 Costa Rica
🇷🇸 Serbia

Follow live:

📺 @BBCTwo
📻 @bbc5live
📱 https://t.co/XhMcEMjVJd

#Wo…"
80,BBCWorld,BBC News (World),2017-12-01 15:56:59+00:00,0.0,1.0,0.0,0.0,Ex-Trump adviser Michael Flynn arrives at federal court https://t.co/RzlaYEZ3oL
79,BBCWorld,BBC News (World),2017-12-01 15:59:25+00:00,0.0,1.0,0.0,0.0,"RT @BBCSport: Group F

🇩🇪 Germany
🇲🇽 Mexico
🇸🇪 Sweden
🇰🇷 South Korea

Follow live:

📺 @BBCTwo
📻 @bbc5live
📱 https://t.co/XhMcEMjVJd

#World…"
78,BBCWorld,BBC News (World),2017-12-01 15:59:41+00:00,0.0,1.0,0.0,0.0,"RT @BBCSport: Group H

🇵🇱 Poland
🇨🇴 Colombia
🇸🇳 Senegal
🇯🇵 Japan

Follow live:

📺 @BBCTwo
📻 @bbc5live
📱 https://t.co/XhMcEMjVJd

#WorldCupD…"
77,BBCWorld,BBC News (World),2017-12-01 16:03:34+00:00,0.0,1.0,0.0,0.0,"RT @BBCSport: Here's how Group G looks for the 2018 Fifa World Cup.

Live reaction 👉 https://t.co/XhMcEMjVJd #WorldCupDraw #bbcfootball htt…"
76,BBCWorld,BBC News (World),2017-12-01 16:14:25+00:00,0.0,1.0,0.0,0.0,"RT @BBCSport: Here it is - the 2018 Fifa #WorldCupDraw in full.

Live reaction 👉 https://t.co/XhMcEMjVJd

#bbcfootball https://t.co/0VuT9eD…"
